review_id,product_name,platform,rating,title,review_text,author,date,verified_purchase
36,Sony WH-1000XM5,Amazon,3,Good not great for the gym,"Tried using these for workouts. They're too warm and not sweat resistant at all. They slip when I'm doing intense cardio. Great for light walks and commutes but definitely not workout headphones. Stick with earbuds for the gym.",GymRat_Jake,2024-08-10,Yes
37,Sony WH-1000XM5,Amazon,4,Impressive voice assistant integration,"Google Assistant and Alexa work flawlessly. I can control my smart home, check weather, and manage reminders hands-free. The voice pickup is good enough that I don't have to shout. Love the quick attention mode — just cover the right ear cup.",SmartHomeSam,2024-08-08,Yes
38,Sony WH-1000XM5,Amazon,5,Zero regrets at full price,"I rarely buy electronics at full MSRP but these are worth it. The combination of sound quality, ANC, comfort, and battery life is unmatched. This is my third pair of Sony flagships and they keep getting better. Instant recommendation to anyone who asks.",DayOneBuyer,2024-08-05,Yes
39,Sony WH-1000XM5,Amazon,2,Auto-pause feature is unreliable,"The wear detection sensor constantly thinks I've taken them off. Music pauses randomly mid-song. Apparently hair can trigger the sensor. I had to disable the feature entirely which is frustrating because it should be a useful feature.",CurlyHairCurse,2024-08-02,Yes
40,Sony WH-1000XM5,Amazon,4,Fantastic for working from home,"Working remotely for 3 years and these are the best headphones I've owned for the job. ANC blocks out my neighbor's construction noise. Call quality is good enough for daily standups and client meetings. Comfortable for 6+ hour days.",RemoteDev_Lisa,2024-07-30,Yes
41,Sony WH-1000XM5,Amazon,5,The king is back,"Sony reclaims the throne. Better ANC than Bose QC Ultra. Better sound than Apple AirPods Max. More features than Sennheiser Momentum 4. And at a lower price than most competitors. This is the headphone to beat in 2024.",TechReviewerAI,2024-07-28,Yes
42,Sony WH-1000XM5,Amazon,3,Wish it had wired ANC mode,"When the battery dies, you can use the included cable but ANC turns off. So you're left with passive isolation only which isn't great with the shallow ear cups. Every competitor should support wired+ANC mode like some Bose models do.",PowerUserPat,2024-07-25,Yes
43,Sony WH-1000XM5,Amazon,4,Great for meditation and sleep,"I use these with sleep sounds and meditation apps. The ANC creates complete silence which is perfect for deep meditation. They're comfortable enough to wear lying down if you're on your back. Battery lasts days with this kind of use.",MindfulMark,2024-07-22,Yes
44,Sony WH-1000XM5,Amazon,5,Second pair because first ones lasted 3 years,"My XM5s finally gave out after 3 years of daily heavy use. That's impressive longevity. Immediately bought another pair because nothing else comes close. The only headphone I'm loyal to.",RepeatCustomer,2024-07-20,Yes
45,Sony WH-1000XM5,Amazon,2,Not enough bass for hip-hop,"If you listen to bass-heavy genres, these might disappoint. The default tuning is balanced/neutral which is great for rock and classical but hip-hop and EDM feel anemic. Yes you can boost bass in EQ but then it sounds muddy. Not ideal.",BassHead_Mike,2024-07-18,Yes
46,Sony WH-1000XM5,Amazon,4,Kids love the speak-to-chat,"My 14-year-old never takes headphones off. At least with speak-to-chat, when I call their name the music pauses and I can talk to them. Brilliant feature for parents of teens. Sound quality is excellent according to my kid.",ParentReview,2024-07-15,Yes
47,Sony WH-1000XM5,Amazon,5,Professional musician approved,"I play violin in an orchestra and these are my go-to for practice. The sound reproduction is accurate enough to hear my mistakes. ANC helps me practice in my apartment without hearing my noisy neighbors. Highly recommended for musicians.",ViolinistV,2024-07-12,Yes
48,Sony WH-1000XM5,Amazon,3,Good headphones terrible case design,"The headphones are great. But the new case is awful — it's bigger because the headphones don't fold, and the zipper quality is cheap. My XM4 case was much better. Small detail but it matters for daily carry.",DetailDevil,2024-07-10,Yes
49,Sony WH-1000XM5,Amazon,4,Excellent value at sale price,"Picked these up during Prime Day for $278 and at that price they're an absolute steal. Every feature works as advertised. ANC is class-leading. Sound is rich and detailed. Would be a solid buy even at full price.",DealHunter,2024-07-08,Yes
50,Sony WH-1000XM5,Amazon,5,Noise cancellation is witchcraft,"Genuinely concerned Sony is using dark magic. Sat in a coffee shop with a screaming toddler two tables over and heard absolutely nothing. My partner thought I was ignoring them but I literally could not hear them speaking. ANC is that good.",MagicBeliever,2024-07-05,Yes
