review_id,product_name,platform,rating,title,review_text,reviewer_role,company_size,date,pros,cons
11,Notion,G2,2,Performance is unacceptable,"Notion is painfully slow. Pages take 3-5 seconds to load. Large databases freeze the browser. The desktop app is just an Electron wrapper that eats RAM. For a tool we use all day every day this kind of performance is a dealbreaker.",Software Engineer,201-500,2024-09-30,"Feature-rich; looks nice; good concept","Slow page loads; RAM hungry; Electron app is heavy; databases lag with 1000+ rows"
12,Notion,G2,4,Best for technical documentation,"Our engineering team moved all technical docs to Notion and it's been great. Code blocks with syntax highlighting inline databases for tracking API endpoints and the ability to embed anything. Much better than Confluence for modern dev teams.",Tech Lead,51-200,2024-09-25,"Code blocks; API documentation; embeds; better than Confluence","Export options are limited; no version diffing; can't self-host"
13,Notion,G2,5,Finally a tool everyone actually uses,"We've tried Confluence SharePoint and Coda. Notion is the first tool where adoption wasn't a struggle. The UI is clean and inviting. People actually want to write docs here which is a minor miracle in any organization.",VP of Engineering,201-500,2024-09-20,"High adoption rate; clean UI; people enjoy using it; low friction","Pricey at scale; limited admin controls on lower tiers; search ranking could improve"
14,Notion,G2,3,Good for docs bad for data,"The relational database feature sounds great in theory but in practice it's clunky. Rollup and formula columns are confusing. If you need real database functionality use Airtable. Notion databases are glorified spreadsheets with nice views.",Data Analyst,51-200,2024-09-15,"Good for documents and wikis; nice UI for basic data; views are helpful","Database features are shallow; formulas are confusing; no real computed fields"
15,Notion,G2,4,Excellent client-facing portal,"We use Notion as a client portal for our agency. Clients love the clean interface and can easily find deliverables status updates and meeting notes. The share-to-web feature is simple. Saves us from building a custom portal.",Agency Owner,11-50,2024-09-10,"Share to web is great; clean client-facing view; easy for non-tech clients","Limited branding on shared pages; analytics on shared pages would be nice; no forms on free plan"
16,Notion,G2,5,Student essential tool,"As a grad student Notion keeps my life organized. Research papers class notes thesis planning reading lists — everything connected through databases and backlinks. The student plan discount makes it even better. Couldn't survive grad school without it.",Graduate Student,Self-employed,2024-09-05,"Student discount; backlinks; great for research; databases connect everything","Can be distracting to set up; easy to over-engineer systems; mobile editing is awkward"
17,Notion,G2,2,Customer support is terrible,"When we had a billing issue it took 3 weeks to get a response. When our workspace had a sync issue that corrupted some pages the support team just sent canned responses. For a paid product the support experience is shockingly bad.",Office Manager,51-200,2024-09-01,"Product itself is good; nice UI; useful features","Support response time is awful; canned responses; no phone support; no SLA"
18,Notion,G2,4,Best meeting notes system we've built,"Our entire org uses Notion for meeting notes linked to project databases. Action items from meetings automatically appear in team task boards. It took time to set up but the connected workflow is powerful and keeps everyone accountable.",Chief of Staff,201-500,2024-08-28,"Connected databases for meetings and tasks; templates for consistency; good for accountability","Template setup takes time; some team members resist adopting; notification overload"
19,Notion,G2,5,Notion is our company operating system,"From employee handbook to OKRs to sprint boards to product specs — everything runs through Notion. It's become our company OS. The ability to connect any page to any database means information flows naturally instead of living in silos.",CEO,11-50,2024-08-25,"True all-in-one platform; connects information across teams; replaces multiple subscriptions","Single point of failure risk; export should be easier; vendor lock-in concerns"
20,Notion,G2,3,Good tool wrong pricing model,"The per-seat pricing gets expensive fast. At $10/user/month for a team of 100 that's $12K/year for what is essentially a wiki and task manager. Confluence is cheaper at scale. The free plan is great but the jump to paid plans is steep for larger teams.",Finance Manager,201-500,2024-08-20,"Feature-rich; good free plan; nice UI","Per-seat pricing scales poorly; expensive for large teams; feature gaps vs dedicated tools"
